iter	Passed	Remaining
400	32282	113108
401	32364	113033
402	32441	112940
403	32522	112863
404	32603	112784
405	32681	112693
406	32761	112614
407	32839	112522
408	32918	112437
409	33002	112370
410	33083	112289
411	33163	112208
412	33242	112123
413	33320	112032
414	33404	111964
415	33480	111871
416	33558	111779
417	33636	111692
418	33715	111608
419	33796	111529
420	33878	111454
421	33955	111362
422	34033	111272
423	34112	111189
424	34190	111098
425	34273	111028
426	34350	110936
427	34430	110851
428	34513	110781
429	34594	110703
430	34676	110626
431	34757	110547
432	34833	110453
433	34913	110371
434	34999	110308
435	35086	110247
436	35166	110167
437	35244	110079
438	35324	109996
439	35401	109906
440	35481	109822
441	35561	109742
442	35638	109649
443	35716	109564
444	35792	109469
445	35870	109381
446	35950	109298
447	36036	109234
448	36115	109151
449	36195	109068
450	36272	108976
451	36351	108892
452	36436	108827
453	36513	108735
454	36590	108644
455	36670	108563
456	36750	108483
457	36830	108401
458	36911	108322
459	36991	108241
460	37070	108155
461	37148	108068
462	37228	107986
463	37312	107917
464	37391	107831
465	37469	107743
466	37548	107659
467	37627	107575
468	37710	107502
469	37787	107413
470	37865	107324
471	37942	107237
472	38022	107154
473	38102	107073
474	38184	106996
475	38264	106915
476	38341	106824
477	38419	106739
478	38499	106657
479	38582	106584
480	38662	106503
481	38741	106418
482	38822	106340
483	38901	106256
484	38982	106175
485	39063	106098
486	39148	106029
487	39231	105957
488	39308	105868
489	39389	105788
490	39472	105715
491	39552	105635
492	39630	105546
493	39706	105454
494	39786	105373
495	39868	105298
496	39948	105216
497	40028	105135
498	40106	105048
499	40186	104967
500	40260	104870
501	40344	104798
502	40427	104724
503	40504	104636
504	40583	104552
505	40661	104466
506	40740	104382
507	40823	104309
508	40904	104229
509	40981	104140
510	41059	104055
511	41155	104013
512	41238	103941
513	41316	103854
514	41395	103770
515	41470	103676
516	41548	103589
517	41628	103508
518	41710	103431
519	41845	103485
520	41924	103403
521	42001	103314
522	42083	103236
523	42161	103150
524	42238	103061
525	42318	102980
526	42396	102894
527	42477	102815
528	42555	102728
529	42632	102640
530	42710	102552
531	42789	102469
532	42867	102383
533	42950	102308
534	43027	102220
535	43107	102139
536	43182	102045
537	43266	101974
538	43354	101911
539	43440	101843
540	43518	101756
541	43596	101670
542	43676	101590
543	43754	101503
544	43844	101444
545	43922	101358
546	44002	101278
547	44079	101188
548	44161	101112
549	44240	101030
550	44321	100949
551	44401	100869
552	44480	100784
553	44559	100700
554	44636	100612
555	44721	100543
556	44799	100457
557	44878	100373
558	44957	100290
559	45036	100205
560	45121	100135
561	45201	100054
562	45279	99969
563	45357	99882
564	45436	99800
565	45519	99723
566	45600	99645
567	45678	99559
568	45758	99477
569	45834	99387
570	45913	99304
571	45997	99232
572	46077	99151
573	46156	99067
574	46234	98982
575	46313	98898
576	46399	98829
577	46476	98743
578	46553	98653
579	46633	98573
580	46711	98488
581	46791	98406
582	46878	98339
583	46966	98276
584	47048	98198
585	47132	98126
586	47211	98042
587	47294	97966
588	47373	97884
589	47458	97812
590	47539	97734
591	47620	97654
592	47703	97578
593	47781	97494
594	47860	97410
595	47941	97330
596	48020	97248
597	48104	97173
598	48188	97101
599	48275	97032
600	48354	96950
601	48430	96861
602	48511	96781
603	48594	96706
604	48675	96626
605	48751	96537
606	48828	96450
607	48906	96364
608	48984	96280
609	49069	96208
610	49146	96120
611	49224	96035
612	49304	95954
613	49381	95866
614	49462	95789
615	49547	95715
616	49624	95629
617	49706	95551
618	49783	95466
619	49857	95372
620	49938	95292
621	50017	95210
622	50099	95132
623	50179	95052
624	50259	94969
625	50339	94889
626	50420	94809
627	50498	94724
628	50578	94643
629	50657	94560
630	50736	94477
631	50816	94395
632	50898	94318
633	50978	94238
634	51060	94160
635	51137	94073
